Postnummer;Poststed;FylkeKode;Fylke;KommuneKode;Kommune;PostnummerKategoriKode;PostnummerKategori;Latitude;Longitude
4745;BYGLAND;9;AUST-AGDER;938;BYGLAND;B;Både gateadresser og postbokser;58.8306000;7.7977200
4747;VALLE;9;AUST-AGDER;940;VALLE;B;Både gateadresser og postbokser;59.2122300;7.5349800
4748;RYSSTAD;9;AUST-AGDER;940;VALLE;B;Både gateadresser og postbokser;59.0959000;7.5302200
4754;BYKLE;9;AUST-AGDER;941;BYKLE;G;Gateadresser og stedsadresser;59.3487000;7.3354000
4755;HOVDEN I SETESDAL;9;AUST-AGDER;941;BYKLE;G;Gateadresser og stedsadresser;59.5581360;7.3577630
4756;HOVDEN I SETESDAL;9;AUST-AGDER;941;BYKLE;P;Postbokser;59.5595700;7.3560300
4760;BIRKELAND;9;AUST-AGDER;928;BIRKENES;G;Gateadresser og stedsadresser;58.3317110;8.2326440
4766;HEREFOSS;9;AUST-AGDER;928;BIRKENES;G;Gateadresser og stedsadresser;58.5281900;8.3507700
4768;ENGESLAND;9;AUST-AGDER;928;BIRKENES;G;Gateadresser og stedsadresser;58.5330540;8.1197550
4770;HØVÅG;9;AUST-AGDER;926;LILLESAND;G;Gateadresser og stedsadresser;58.1639100;8.2178700
4780;BREKKESTØ;9;AUST-AGDER;926;LILLESAND;G;Gateadresser og stedsadresser;58.1954800;8.3480100
4790;LILLESAND;9;AUST-AGDER;926;LILLESAND;G;Gateadresser og stedsadresser;58.2487530;8.3767630
4791;LILLESAND;9;AUST-AGDER;926;LILLESAND;P;Postbokser;58.2488300;8.3774200
4792;LILLESAND;9;AUST-AGDER;926;LILLESAND;P;Postbokser;58.2488300;8.3774200
4793;HØVÅG;9;AUST-AGDER;926;LILLESAND;P;Postbokser;58.1640000;8.2179000
4794;LILLESAND;9;AUST-AGDER;926;LILLESAND;P;Postbokser;58.2618600;8.3955400
4795;BIRKELAND;9;AUST-AGDER;928;BIRKENES;P;Postbokser;58.3304900;8.2325400
4801;ARENDAL;9;AUST-AGDER;906;ARENDAL;P;Postbokser;58.4591600;8.7664700
4802;ARENDAL;9;AUST-AGDER;906;ARENDAL;P;Postbokser;58.4591600;8.7664700
4803;ARENDAL;9;AUST-AGDER;906;ARENDAL;P;Postbokser;58.4591600;8.7664700
4804;ARENDAL;9;AUST-AGDER;906;ARENDAL;P;Postbokser;58.4591600;8.7664700
4808;ARENDAL;9;AUST-AGDER;906;ARENDAL;P;Postbokser;58.4615000;8.7725000
4809;ARENDAL;9;AUST-AGDER;906;ARENDAL;P;Postbokser;58.4615000;8.7725000
4810;EYDEHAVN;9;AUST-AGDER;906;ARENDAL;G;Gateadresser og stedsadresser;58.5069100;8.8609200
4812;KONGSHAVN;9;AUST-AGDER;906;ARENDAL;G;Gateadresser og stedsadresser;58.4853500;8.8637440
4815;SALTRØD;9;AUST-AGDER;906;ARENDAL;G;Gateadresser og stedsadresser;58.4953760;8.8490580
4816;KOLBJØRNSVIK;9;AUST-AGDER;906;ARENDAL;G;Gateadresser og stedsadresser;58.4521960;8.7690850
4817;HIS;9;AUST-AGDER;906;ARENDAL;G;Gateadresser og stedsadresser;58.4322600;8.7441600
4818;FÆRVIK;9;AUST-AGDER;906;ARENDAL;G;Gateadresser og stedsadresser;58.4551400;8.8163700
4820;FROLAND;9;AUST-AGDER;919;FROLAND;G;Gateadresser og stedsadresser;58.5083810;8.6305330
4821;RYKENE;9;AUST-AGDER;906;ARENDAL;B;Både gateadresser og postbokser;58.4115000;8.6374000
4823;NEDENES;9;AUST-AGDER;906;ARENDAL;G;Gateadresser og stedsadresser;58.4151000;8.7005000
4824;BJORBEKK;9;AUST-AGDER;906;ARENDAL;G;Gateadresser og stedsadresser;58.4414000;8.7090000
4825;ARENDAL;9;AUST-AGDER;906;ARENDAL;G;Gateadresser og stedsadresser;58.4456800;8.7309700
4827;FROLANDS VERK;9;AUST-AGDER;919;FROLAND;G;Gateadresser og stedsadresser;58.5009150;8.5807560
4828;MJÅVATN;9;AUST-AGDER;919;FROLAND;G;Gateadresser og stedsadresser;58.5367000;8.4896000
4830;HYNNEKLEIV;9;AUST-AGDER;919;FROLAND;G;Gateadresser og stedsadresser;58.6019850;8.4182740
4832;MYKLAND;9;AUST-AGDER;919;FROLAND;G;Gateadresser og stedsadresser;58.6322000;8.2744000
4834;RISDAL;9;AUST-AGDER;919;FROLAND;G;Gateadresser og stedsadresser;58.6719700;8.1287500
4836;ARENDAL;9;AUST-AGDER;906;ARENDAL;G;Gateadresser og stedsadresser;58.4591500;8.7607500
4838;ARENDAL;9;AUST-AGDER;906;ARENDAL;G;Gateadresser og stedsadresser;58.4641900;8.7602100
4839;ARENDAL;9;AUST-AGDER;906;ARENDAL;G;Gateadresser og stedsadresser;58.4519800;8.7473300
4841;ARENDAL;9;AUST-AGDER;906;ARENDAL;G;Gateadresser og stedsadresser;58.4630000;8.7750000
4842;ARENDAL;9;AUST-AGDER;906;ARENDAL;G;Gateadresser og stedsadresser;58.4710100;8.7969500
4843;ARENDAL;9;AUST-AGDER;906;ARENDAL;G;Gateadresser og stedsadresser;58.4735300;8.7862300
4844;ARENDAL;9;AUST-AGDER;906;ARENDAL;G;Gateadresser og stedsadresser;58.4741200;8.7733300
4846;ARENDAL;9;AUST-AGDER;906;ARENDAL;G;Gateadresser og stedsadresser;58.4768300;8.7607800
4847;ARENDAL;9;AUST-AGDER;906;ARENDAL;G;Gateadresser og stedsadresser;58.4623000;8.7482400
4848;ARENDAL;9;AUST-AGDER;906;ARENDAL;G;Gateadresser og stedsadresser;58.4818200;8.7271790
4849;ARENDAL;9;AUST-AGDER;906;ARENDAL;G;Gateadresser og stedsadresser;58.5235000;8.7854900
4851;SALTRØD;9;AUST-AGDER;906;ARENDAL;P;Postbokser;58.4948800;8.8476000
4852;FÆRVIK;9;AUST-AGDER;906;ARENDAL;P;Postbokser;58.4565500;8.8187400
4853;HIS;9;AUST-AGDER;906;ARENDAL;P;Postbokser;58.4459500;8.7567600
4854;NEDENES;9;AUST-AGDER;906;ARENDAL;P;Postbokser;58.4165400;8.7018900
4855;FROLAND;9;AUST-AGDER;919;FROLAND;P;Postbokser;58.5079200;8.6302900
4856;ARENDAL;9;AUST-AGDER;906;ARENDAL;P;Postbokser;58.4653300;8.7091500
4857;ARENDAL;9;AUST-AGDER;906;ARENDAL;P;Postbokser;58.4653300;8.7091500
4858;ARENDAL;9;AUST-AGDER;906;ARENDAL;P;Postbokser;58.4653300;8.7091500
4859;ARENDAL;9;AUST-AGDER;906;ARENDAL;P;Postbokser;58.4690200;8.7877700
4861;ARENDAL;9;AUST-AGDER;906;ARENDAL;P;Postbokser;58.4741300;8.7740400
4862;EYDEHAVN;9;AUST-AGDER;906;ARENDAL;P;Postbokser;58.4948800;8.8476000
4863;NELAUG;9;AUST-AGDER;929;ÅMLI;B;Både gateadresser og postbokser;58.6583700;8.6300800
